,Section,Headline,Content
0,Business,"Binance’s Changpeng Zhao pleads guilty, steps down to settle US illicit finance probe","Binance broke US anti-money laundering and sanctions laws and failed to report more than 100,000 suspicious transactions with organizations the US described as terrorist groups including Hamas, al Qaeda and the Islamic State of Iraq and Syria, authorities said."
1,Business,Rupee falls 3 paise to close at 83.31 against US dollar,"On the domestic equity market front, Sensex rose 92.47 points or 0.14 per cent to settle at 66,023.24 points. The Nifty advanced 28.45 points or 0.14 per cent to 19,811.85 points."
2,Business,"Rupee volatility low, exhibited orderly movements relative to peers: RBI Governor","Speaking at the annual FIBAC event, Das said household inflation expectations are becoming more anchored, but added that headline inflation is vulnerable to recurring and overlapping food price shocks."
3,Business,DGCA slaps Rs 10 lakh penalty on Air India over non-compliance with norms on passenger facilities,This is the second time such an action has been taken against Air India in the past one-and-a-half years.
4,Business,"IT Ministry to meet social media companies over deepfakes, may share SoP on Nov 23-24","Earlier this month, the IT Ministry had also sent advisories to social media platforms, including Facebook, Instagram and YouTube, to take down deepfakes."
5,Business,IPEF supply chain pact won’t impact policy space to impose export curbs: Official,IPEF was launched jointly by the United States and other partner countries of the Indo-Pacific region on May 23 last year largely to counter China’s influence on trade.
6,Business,"G20 Leaders’ Summit: New Delhi Declaration, enhanced co-operation key focus areas","As the New Delhi Summit had drawn to a close in September, Prime Minister Narendra Modi had proposed a virtual session in November before the end of India’s presidency – Brazil will take over the G20 presidency from December 1."
7,Business,"IPOs galore: 5 companies to make street debut this week; Rs 7,000 cr likely to be raised","IREDA is a government of India enterprise under the administrative control of the Ministry of New and Renewable Energy (MNRE). It is engaged in promoting, developing and extending financial assistance for setting up projects relating to new and renewable sources of energy and energy efficiency and conservation. 
"
8,Business,"Govt, RBI on ‘high alert’ on inflation; rate hike transmission may temper demand: Finance Ministry","The Ministry also said that a fuller transmission of the monetary policy, which essentially means pass-through of the central bank’s rate hikes to consumers by banks, may also temper domestic demand."
9,Business,"Notices to BYJU’S CEO, parent  firm over FEMA violations: ED",The agency said it had initiated investigation on the basis of various complaints regarding foreign investments received by the company viz M/s Think and Learn Private Limited and the business conduct of the firm.
10,Business,"Eight IndiGo passengers missed connecting flight from Bengaluru due to lack of time, says airline","According to IndiGo, its staff offered the passengers overnight accommodation and booking on the next available flight"
11,Business,"Govt cancels bid for appointing asset valuer for IDBI Bank, fresh RFP to be issued","The government, along with LIC, is selling nearly 61 per cent stake in IDBI Bank and in January received multiple Expressions of Interest for the same."
12,Business,"Stock markets recover after 2-day decline; banking, metal shares shine","The 30-share BSE Sensex climbed 275.62 points or 0.42 per cent to settle at 65,930.77."
13,Business,"Jindal Power will not bid to take over airline Go First, says report",Go First is currently locked in a legal tussle with its lessors after they were blocked from repossessing planes due to a moratorium imposed by Indian courts.
14,Business,Rupee rises 6 paise to 83.32 against US dollar in early trade,Forex traders said the rupee fell to fresh record lows on Monday despite broad weakness in the dollar against its major crosses on suspected importer-related buying.
15,Business,SEBI chief urges investors to take long-term view of markets to beat inflation rate,"SEBI’s study, released in January this year, stated that 90 per cent of the active traders incurred average losses of Rs 1.25 lakh during FY22."
16,Business,"Religare board rallies around Rashmi Saluja, defends her share sales","“As result of the overall growth of all businesses, the company’s market cap has remarkably increased to about a billion dollars from a low of under $100 million in March 2018,” the board said."
17,Business,"RBI’s tightening of lending norms for unsecured loans is credit positive, says Moody’s","Last week, the RBI increased the risk weights on the exposure of banks towards consumer credit, credit card receivables and NBFCs by 25 per cent up to 150 per cent."
